识别时间,交易日,龙头品种,板块,方向,当前涨跌幅,当前增减仓幅度,前20日最高价或最低价,前20日平均涨跌幅绝对值,前20日平均增减仓幅度绝对值,首次突破时间,识别小时,历史窗口开始,历史窗口结束,触发原因
2018-03-30 15:00:00,2018-03-30,M,油脂油料,向上,0.0456746514,0.0656429055,3132.6931120756,0.0076436477,0.0194704372,2018-03-30 11:06:00,2018-03-30 15:00:00,2018-03-02,2018-03-29,high=3167.96 突破前20日高点 3132.69；涨跌幅=4.5675%，超过2倍前20日平均绝对涨跌幅 0.7644%；增仓幅度=6.5643%，超过1.5倍前20日平均绝对增减仓幅度 1.9470%；首次突破时间=2018-03-30 11:06:00
2018-04-03 13:59:00,2018-04-03,B,油脂油料,向上,0.0188368711,0.1810632189,3530.3338702074,0.0058426995,0.0592167849,2018-04-02 21:34:00,2018-04-03 13:00:00,2018-03-06,2018-04-02,high=3593.96 突破前20日高点 3530.33；涨跌幅=1.8837%，超过2倍前20日平均绝对涨跌幅 0.5843%；增仓幅度=18.1063%，超过1.5倍前20日平均绝对增减仓幅度 5.9217%；首次突破时间=2018-04-02 21:34:00
2018-04-03 14:59:00,2018-04-03,B,油脂油料,向上,0.0235010594,0.2013911636,3530.3338702074,0.0058426995,0.0592167849,2018-04-02 21:34:00,2018-04-03 14:00:00,2018-03-06,2018-04-02,high=3620.91 突破前20日高点 3530.33；涨跌幅=2.3501%，超过2倍前20日平均绝对涨跌幅 0.5843%；增仓幅度=20.1391%，超过1.5倍前20日平均绝对增减仓幅度 5.9217%；首次突破时间=2018-04-02 21:34:00
2018-04-03 15:00:00,2018-04-03,B,油脂油料,向上,0.0230121221,0.2013333590,3530.3338702074,0.0058426995,0.0592167849,2018-04-02 21:34:00,2018-04-03 15:00:00,2018-03-06,2018-04-02,high=3620.91 突破前20日高点 3530.33；涨跌幅=2.3012%，超过2倍前20日平均绝对涨跌幅 0.5843%；增仓幅度=20.1333%，超过1.5倍前20日平均绝对增减仓幅度 5.9217%；首次突破时间=2018-04-02 21:34:00
2018-04-04 10:59:00,2018-04-04,A,油脂油料,向上,0.0186724936,0.1134846032,3870.4971005208,0.0054037701,0.0325657139,2018-04-04 10:34:00,2018-04-04 10:00:00,2018-03-07,2018-04-03,high=3914.69 突破前20日高点 3870.5；涨跌幅=1.8672%，超过2倍前20日平均绝对涨跌幅 0.5404%；增仓幅度=11.3485%，超过1.5倍前20日平均绝对增减仓幅度 3.2566%；首次突破时间=2018-04-04 10:34:00
2018-04-04 11:30:00,2018-04-04,A,油脂油料,向上,0.0164059151,0.0925742455,3870.4971005208,0.0054037701,0.0325657139,2018-04-04 10:34:00,2018-04-04 11:00:00,2018-03-07,2018-04-03,high=3914.69 突破前20日高点 3870.5；涨跌幅=1.6406%，超过2倍前20日平均绝对涨跌幅 0.5404%；增仓幅度=9.2574%，超过1.5倍前20日平均绝对增减仓幅度 3.2566%；首次突破时间=2018-04-04 10:34:00
2018-04-04 13:59:00,2018-04-04,A,油脂油料,向上,0.0189201035,0.1139517837,3870.4971005208,0.0054037701,0.0325657139,2018-04-04 10:34:00,2018-04-04 13:00:00,2018-03-07,2018-04-03,high=3924.01 突破前20日高点 3870.5；涨跌幅=1.8920%，超过2倍前20日平均绝对涨跌幅 0.5404%；增仓幅度=11.3952%，超过1.5倍前20日平均绝对增减仓幅度 3.2566%；首次突破时间=2018-04-04 10:34:00
2018-04-04 14:59:00,2018-04-04,A,油脂油料,向上,0.0174185362,0.1049223111,3870.4971005208,0.0054037701,0.0325657139,2018-04-04 10:34:00,2018-04-04 14:00:00,2018-03-07,2018-04-03,high=3924.46 突破前20日高点 3870.5；涨跌幅=1.7419%，超过2倍前20日平均绝对涨跌幅 0.5404%；增仓幅度=10.4922%，超过1.5倍前20日平均绝对增减仓幅度 3.2566%；首次突破时间=2018-04-04 10:34:00
2018-04-04 15:00:00,2018-04-04,A,油脂油料,向上,0.0170507139,0.0983415090,3870.4971005208,0.0054037701,0.0325657139,2018-04-04 10:34:00,2018-04-04 15:00:00,2018-03-07,2018-04-03,high=3924.46 突破前20日高点 3870.5；涨跌幅=1.7051%，超过2倍前20日平均绝对涨跌幅 0.5404%；增仓幅度=9.8342%，超过1.5倍前20日平均绝对增减仓幅度 3.2566%；首次突破时间=2018-04-04 10:34:00
2018-04-09 11:30:00,2018-04-09,RM,油脂油料,向上,0.0417587359,0.0388963183,2608.9890860238,0.0084156278,0.0175449092,2018-04-09 09:01:00,2018-04-09 11:00:00,2018-03-08,2018-04-04,high=2717.87 突破前20日高点 2608.99；涨跌幅=4.1759%，超过2倍前20日平均绝对涨跌幅 0.8416%；增仓幅度=3.8896%，超过1.5倍前20日平均绝对增减仓幅度 1.7545%；首次突破时间=2018-04-09 09:01:00
