交易日,龙头品种,跟涨品种,板块,识别时间,开多时间,开多价,平多时间,平多价,税前收益率,净收益率
2020-10-16,RU,NR,橡胶,2020-10-16 14:59:00,2020-10-16 15:00:00,10172.225792914567,2020-10-16 15:00:00,10170.2701210354,-0.00019225604297223864,-0.00019225604297223864
2020-10-19,CY,CF,软商品纺织,2020-10-19 09:59:00,2020-10-19 10:00:00,15239.527386667203,2020-10-19 15:00:00,14974.4736627049,-0.01739251600375702,-0.01739251600375702
2020-10-20,RU,NR,橡胶,2020-10-20 14:59:00,2020-10-20 15:00:00,10715.079015143714,2020-10-20 15:00:00,10772.6989801174,0.005377465242417001,0.005377465242417001
2020-11-02,PP,L,烯烃塑料,2020-11-02 13:59:00,2020-11-02 14:00:00,7388.257409251973,2020-11-02 15:00:00,7432.7678878876,0.00602448942559719,0.00602448942559719
2020-11-05,RM,B,油脂油料,2020-11-05 10:59:00,2020-11-05 11:00:00,3873.442130556668,2020-11-05 15:00:00,3869.718050712,-0.0009614393914109121,-0.0009614393914109121
2020-11-05,RM,M,油脂油料,2020-11-05 10:59:00,2020-11-05 11:00:00,3201.266277453882,2020-11-05 15:00:00,3209.1064446265,0.0024490831105912214,0.0024490831105912214
2020-11-13,L,PP,烯烃塑料,2020-11-13 11:30:00,2020-11-13 13:31:00,8188.996861796791,2020-11-13 15:00:00,8179.1625301572,-0.0012009201866310937,-0.0012009201866310937
2020-11-17,RB,HC,黑色钢矿,2020-11-17 14:59:00,2020-11-17 15:00:00,3994.313962736043,2020-11-17 15:00:00,3994.0166446144,-7.443534094131454e-05,-7.443534094131454e-05
2020-11-18,PP,L,烯烃塑料,2020-11-18 11:30:00,2020-11-18 13:31:00,7763.482611427827,2020-11-18 15:00:00,7743.7691741649,-0.0025392518087061777,-0.0025392518087061777
2020-11-23,PP,L,烯烃塑料,2020-11-23 11:30:00,2020-11-23 13:31:00,7881.6469091436975,2020-11-23 15:00:00,7901.3952353861,0.0025056091030279948,0.0025056091030279948
2020-11-30,CS,C,谷物淀粉,2020-11-30 10:59:00,2020-11-30 11:00:00,2659.7119064818503,2020-11-30 15:00:00,2658.5591213872,-0.0004334247975659178,-0.0004334247975659178
2020-12-21,RM,B,油脂油料,2020-12-21 14:59:00,2020-12-21 15:00:00,3935.344383290638,2020-12-21 15:00:00,3935.5432317955,5.052887002898743e-05,5.052887002898743e-05
2020-12-21,RM,M,油脂油料,2020-12-21 14:59:00,2020-12-21 15:00:00,3299.343591798815,2020-12-21 15:00:00,3302.2623291056,0.0008846418160388669,0.0008846418160388669
2020-12-30,RM,M,油脂油料,2020-12-30 10:59:00,2020-12-30 11:00:00,3375.9620296667485,2020-12-30 15:00:00,3374.0386851405,-0.0005697174640433289,-0.0005697174640433289
2020-12-31,M,RM,油脂油料,2020-12-31 14:59:00,2020-12-31 15:00:00,2867.954922285201,2020-12-31 15:00:00,2877.6231213269,0.003371112623344663,0.003371112623344663
2021-01-11,CS,C,谷物淀粉,2021-01-11 09:59:00,2021-01-11 10:00:00,2863.508754392796,2021-01-11 15:00:00,2830.0698001423,-0.011677615512506678,-0.011677615512506678
2021-01-13,RM,M,油脂油料,2021-01-13 09:59:00,2021-01-13 10:00:00,3765.212047273228,2021-01-13 15:00:00,3771.7132737857,0.0017266561433586514,0.0017266561433586514
2021-02-01,AG,AU,贵金属,2021-02-01 09:59:00,2021-02-01 10:00:00,389.1903414494032,2021-02-01 15:00:00,392.7587505055,0.009168801678909988,0.009168801678909988
2021-02-08,PF,TA,聚酯产业链,2021-02-08 09:59:00,2021-02-08 10:00:00,4230.205479289153,2021-02-08 15:00:00,4192.4417217133,-0.008927168611724157,-0.008927168611724157
2021-02-18,RU,NR,橡胶,2021-02-18 14:59:00,2021-02-18 15:00:00,11176.910175639556,2021-02-18 15:00:00,11187.1832760596,0.0009191359918445663,0.0009191359918445663
2021-02-18,L,PP,烯烃塑料,2021-02-18 10:59:00,2021-02-18 11:00:00,8674.538215947188,2021-02-18 15:00:00,8764.0854129677,0.010322992969918454,0.010322992969918454
2021-02-18,L,V,烯烃塑料,2021-02-18 10:59:00,2021-02-18 11:00:00,7913.865083660421,2021-02-18 15:00:00,7988.4833367959,0.0094288002571008,0.0094288002571008
2021-02-22,CU,ZN,有色基本金属,2021-02-22 09:59:00,2021-02-22 10:00:00,21900.960555376325,2021-02-22 15:00:00,21950.6532046634,0.0022689712244092775,0.0022689712244092775
2021-02-23,SC,BU,能源油品,2021-02-23 09:59:00,2021-02-23 10:00:00,3134.751867083287,2021-02-23 15:00:00,3142.1961923967,0.002374773388472251,0.002374773388472251
2021-02-23,SC,FU,能源油品,2021-02-23 09:59:00,2021-02-23 10:00:00,2438.9861160274377,2021-02-23 15:00:00,2446.574766171,0.003111395384211013,0.003111395384211013
2021-02-23,SC,LU,能源油品,2021-02-23 09:59:00,2021-02-23 10:00:00,3300.706447100204,2021-02-23 15:00:00,3298.1306717265,-0.000780370934218233,-0.000780370934218233
2021-02-25,CF,CY,软商品纺织,2021-02-25 13:59:00,2021-02-25 14:00:00,24428.012418541744,2021-02-25 15:00:00,24086.2371198014,-0.013991121867979905,-0.013991121867979905
2021-02-25,RU,NR,橡胶,2021-02-24 22:59:00,2021-02-24 23:00:00,13078.096670460498,2021-02-25 15:00:00,13071.7683206781,-0.00048388920359421217,-0.00048388920359421217
2021-04-23,SM,SF,铁合金,2021-04-23 13:59:00,2021-04-23 14:00:00,7568.874572850929,2021-04-23 15:00:00,7578.0831476922,0.0012166372625992405,0.0012166372625992405
2021-05-06,AG,AU,贵金属,2021-05-06 13:59:00,2021-05-06 14:00:00,376.8585909760787,2021-05-06 15:00:00,377.0708376331,0.0005631997308899184,0.0005631997308899184
2021-05-06,RM,M,油脂油料,2021-05-06 13:59:00,2021-05-06 14:00:00,3657.057789767954,2021-05-06 15:00:00,3645.1531155363,-0.003255260079554123,-0.003255260079554123
2021-05-07,RM,B,油脂油料,2021-05-07 10:59:00,2021-05-07 11:00:00,4434.060365485874,2021-05-07 15:00:00,4402.8088221069,-0.0070480644833417205,-0.0070480644833417205
2021-05-07,RM,M,油脂油料,2021-05-07 10:59:00,2021-05-07 11:00:00,3739.7563200920968,2021-05-07 15:00:00,3689.1554214035,-0.013530533638445918,-0.013530533638445918
2021-05-12,JM,J,煤焦,2021-05-12 13:59:00,2021-05-12 14:00:00,2914.2861328124995,2021-05-12 15:00:00,2865.384310941,-0.016780034506874486,-0.016780034506874486
2021-05-12,B,M,油脂油料,2021-05-12 13:59:00,2021-05-12 14:00:00,3755.870666171052,2021-05-12 15:00:00,3742.5827051076,-0.003537917634687582,-0.003537917634687582
2021-05-12,B,RM,油脂油料,2021-05-12 13:59:00,2021-05-12 14:00:00,3154.2716684042707,2021-05-12 15:00:00,3148.9777255184,-0.001678340816011259,-0.001678340816011259
2021-05-12,SF,SM,铁合金,2021-05-12 14:59:00,2021-05-12 15:00:00,7685.882029873488,2021-05-12 15:00:00,7642.201209543,-0.00568325407034731,-0.00568325407034731
2021-05-18,AG,AU,贵金属,2021-05-18 09:59:00,2021-05-18 10:00:00,391.849504737192,2021-05-18 15:00:00,390.8934781525,-0.002439780000061953,-0.002439780000061953
2021-06-25,TA,PF,聚酯产业链,2021-06-25 13:59:00,2021-06-25 14:00:00,7382.53201449289,2021-06-25 15:00:00,7346.6385992005,-0.0048619383189841825,-0.0048619383189841825
2021-07-02,CF,CY,软商品纺织,2021-07-01 21:59:00,2021-07-01 22:00:00,23985.381228522336,2021-07-02 15:00:00,24070.2446675031,0.0035381317550144953,0.0035381317550144953
2021-07-22,CY,CF,软商品纺织,2021-07-22 09:59:00,2021-07-22 10:00:00,16899.87540011254,2021-07-22 15:00:00,17111.18692613,0.012503732779950205,0.012503732779950205
2021-07-23,CY,CF,软商品纺织,2021-07-23 10:59:00,2021-07-23 11:00:00,17261.085379241733,2021-07-23 15:00:00,17279.698129758,0.0010783070767177438,0.0010783070767177438
2021-07-27,CY,CF,软商品纺织,2021-07-27 09:59:00,2021-07-27 10:00:00,17549.519832558588,2021-07-27 15:00:00,17553.2745310485,0.00021394878753011604,0.00021394878753011604
2021-07-29,HC,RB,黑色钢矿,2021-07-29 14:59:00,2021-07-29 15:00:00,5750.245335249335,2021-07-29 15:00:00,5755.5684978667,0.0009257279136829499,0.0009257279136829499
2021-09-06,AG,AU,贵金属,2021-09-03 23:59:00,2021-09-04 00:00:00,381.6503912162222,2021-09-06 15:00:00,381.1538638961,-0.0013010004222447913,-0.0013010004222447913
