RETURN_MULTIPLIER,OI_MULTIPLIER,CORRELATION_THRESHOLD,单边费率,交易次数,胜率,累计收益率,年化收益率,最大回撤,年化夏普比率
4.0,4.0,0.9,0.0,4.0,1.0,0.0080364566803368,6.5164410165823465,-0.0,
4.0,4.5,0.9,0.0,4.0,1.0,0.0080364566803368,6.5164410165823465,-0.0,
4.0,5.0,0.9,0.0,4.0,0.75,0.0058247403794613,3.3213861801263898,-0.0,
4.5,3.5,0.9,0.0,4.0,0.75,0.0009957892813801,0.2850710911337182,-0.0,
4.5,4.0,0.9,0.0,4.0,0.75,0.0009957892813801,0.2850710911337182,-0.0,
4.5,4.5,0.9,0.0,4.0,0.75,0.0009957892813801,0.2850710911337182,-0.0,
4.5,5.0,0.9,0.0,4.0,0.75,0.0009957892813801,0.2850710911337182,-0.0,
5.0,3.5,0.9,0.0,4.0,0.75,0.0028489955814987,1.048127807250478,-0.0,
5.0,4.0,0.9,0.0,4.0,0.75,0.0028489955814987,1.048127807250478,-0.0,
5.0,4.5,0.9,0.0,4.0,0.75,0.0028489955814987,1.048127807250478,-0.0,
5.0,5.0,0.9,0.0,4.0,0.75,0.0028489955814987,1.048127807250478,-0.0,
3.5,3.0,0.9,0.0001,5.0,1.0,0.026418387119462,0.0182161599628156,-0.0,1.177455108962929
4.0,2.5,0.9,0.0001,5.0,1.0,0.0215684223937633,0.0148828972538768,-0.0,1.13745104827477
4.0,3.0,0.9,0.0001,5.0,1.0,0.0215684223937633,0.0148828972538768,-0.0,1.13745104827477
5.0,2.5,0.9,0.0001,5.0,0.8,0.0163102811389563,0.0112635986124136,-0.0,0.976054219425744
5.0,3.0,0.9,0.0001,5.0,0.8,0.0163102811389563,0.0112635986124136,-0.0,0.976054219425744
5.0,2.5,0.6,0.0001,17.0,0.8235294117647058,0.0599511914656187,0.0095854152241408,0.0005300099628434,0.8919803649061425
5.0,2.5,0.7,0.0001,15.0,0.8,0.0603051248681891,0.0096406436083098,0.0005300099628433,0.8821976793388644
4.5,2.5,0.9,0.0001,5.0,0.8,0.0144318245462886,0.0099692181390531,-0.0,0.8792895909187202
4.5,3.0,0.9,0.0001,5.0,0.8,0.0144318245462886,0.0099692181390531,-0.0,0.8792895909187202
4.5,2.5,0.6,0.0001,19.0,0.8421052631578947,0.0516371732978497,0.0082836247920237,0.0005300099628434,0.8129533063092846
5.0,2.5,0.5,0.0001,23.0,0.6956521739130435,0.0528840498061045,0.0084794052135552,0.0020517462340869,0.8072474277468201
5.0,3.0,0.6,0.0001,16.0,0.8125,0.0448142060010845,0.0077391074622878,0.0005300099628435,0.8051596257780764
4.0,2.0,0.7,0.0001,31.0,0.6774193548387096,0.0627852042159655,0.0098914736216031,0.0030297596880837,0.8042181779052914
4.5,2.5,0.7,0.0001,17.0,0.8235294117647058,0.050439728782653,0.0080954232289578,0.0005300099628434,0.7976531165309644
4.5,2.5,0.5,0.0001,26.0,0.7692307692307693,0.0504275381674412,0.0080935063157936,0.0020517462340869,0.7955496000581205
4.0,2.5,0.7,0.0001,19.0,0.8421052631578947,0.0661230563508681,0.0104034851020344,0.0030297596880837,0.7914219585261252
5.0,2.0,0.7,0.0001,24.0,0.625,0.0455806507670939,0.0073298794351319,0.0005300099628435,0.7846595407888928
